GuiseLanguage,GuiseGender,Participant,ListenerGender,Trustworthy,Friendly,Agreeable,Wealthy,Educated,Local,Urban,Feminine_voice,Language_mastery,Pleasant_voice,Refined_accent
Italian,Female,s11,Male,5,5,6,4,5,6,1,6,5,6,6
Italian,Female,s12,Female,7,4,7,4,7,4,7,7,7,6,7
Italian,Female,s13,Male,3,4,4,5,7,6,6,6,6,3,5
Italian,Female,s14,Female,4,4,4,4,5,4,4,7,6,5,7
Italian,Female,s15,Male,4,4,5,4,4,3,3,7,4,3,4
Italian,Female,s16,Male,4,6,2,6,3,2,3,5,2,3,6
Italian,Female,s17,Female,6,6,7,7,6,5,7,7,7,7,7
Italian,Female,s18,Female,5,5,5,6,7,2,7,7,7,7,7
Italian,Female,s19,Male,7,6,7,6,7,5,7,7,7,7,7
Italian,Female,s20,Male,6,5,5,4,6,3,6,7,6,5,5
Italian,Female,s21,Male,6,5,5,6,6,2,7,7,7,5,7
Italian,Female,s22,Male,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s23,Male,7,7,7,7,7,1,7,7,7,5,7
Italian,Female,s24,Male,7,7,6,6,7,4,7,7,7,7,7
Italian,Female,s25,Male,7,7,7,4,7,5,7,7,6,6,7
Italian,Female,s26,Female,7,6,7,7,7,1,7,7,7,7,7
Italian,Female,s27,Male,5,5,5,6,6,3,6,7,4,6,4
Italian,Female,s28,Female,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s29,Female,1,1,1,3,7,1,7,7,7,7,7
Italian,Female,s30,Female,6,5,5,6,6,4,6,7,6,6,7
Italian,Female,s31,Female,6,3,5,5,6,4,6,7,6,6,6
Italian,Female,s32,Male,5,5,6,6,5,6,4,6,6,6,6
Italian,Female,s33,Female,6,6,5,6,6,6,6,7,7,7,7
Italian,Female,s34,Female,7,6,7,1,1,5,1,7,1,7,1
Italian,Female,s35,Female,3,6,7,4,4,2,5,7,3,7,6
Italian,Female,s36,Female,7,7,4,4,7,1,7,7,5,7,5
Italian,Female,s37,Female,3,3,3,4,3,7,7,7,7,5,3
Italian,Female,s38,Female,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s39,Male,5,5,4,4,4,5,5,7,6,6,6
Italian,Female,s40,Female,4,4,4,4,3,4,4,7,7,6,7
Italian,Female,s41,Male,2,2,2,6,3,7,3,7,5,1,2
Italian,Female,s42,Female,7,6,6,7,7,6,3,7,7,7,6
Italian,Female,s43,Female,3,3,3,7,5,1,7,7,7,6,7
